Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Aylık ortalama net kaç bin TL alıyorsun?,Cinsiyet
8/2/2024 13:02:06,Türkiye,Tam zamanlı,Hybrid,1,Junior,"TypeScript, C#, SQL",Backend,41 - 50,
8/2/2024 13:02:32,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript",Frontend,21 - 30,
8/2/2024 13:02:39,Türkiye,Tam zamanlı,Remote,10,Team Lead,"HTML/CSS, JavaScript, Go, PHP, Ruby",Fullstack,71 - 80,
8/2/2024 13:02:40,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript, PHP",Fullstack,31 - 40,
8/2/2024 13:02:43,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:02:56,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,71 - 80,
8/2/2024 13:02:59,Türkiye,Tam zamanlı,Remote,7,Senior,"JavaScript, TypeScript",Frontend,141 - 150,
8/2/2024 13:03:09,Türkiye,Tam zamanlı,Office,20 - 30,Senior,"HTML/CSS, JavaScript, Java, C#, SQL",Backend,91 - 100,
8/2/2024 13:03:16,Türkiye,Tam zamanlı,Office,2,Mid,"JavaScript, TypeScript",React Native,21 - 30,
8/2/2024 13:03:20,Avrupa,Tam zamanlı,Hybrid,4,Team Lead,"HTML/CSS, JavaScript, TypeScript, Java, Python, C++",Game Designer,121 - 130,
8/2/2024 13:03:25,Türkiye,Kendi işim,Office,6,Team Lead,"PHP, Swift, Dart",Flutter,0 - 10,
8/2/2024 13:03:42,Türkiye,Tam zamanlı,Remote,1,Junior,Swift,iOS,21 - 30,
8/2/2024 13:03:42,Türkiye,Tam zamanlı,Remote,10,Senior,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Frontend,51 - 60,
8/2/2024 13:03:56,Türkiye,Tam zamanlı,Remote,20 - 30,Architect,"HTML/CSS, JavaScript, TypeScript, Java, C#, Swift, Python, C, C++, Objective C, SQL",Eğitim,91 - 100,
8/2/2024 13:03:56,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",Frontend,41 - 50,
8/2/2024 13:04:07,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, Go, PHP",Backend,51 - 60,
8/2/2024 13:04:23,Yurtdışı TR hub,Tam zamanlı,Remote,3,Junior,"HTML/CSS, JavaScript, TypeScript, SQL",Fullstack,81 - 90,
8/2/2024 13:04:28,Türkiye,Tam zamanlı,Remote,5,Senior,"Swift, Python, Dart",Flutter,41 - 50,
8/2/2024 13:04:41,Türkiye,Tam zamanlı,Remote,8,Senior,"C#, SQL",Backend,141 - 150,
8/2/2024 13:04:54,Türkiye,Tam zamanlı,Office,4,Mid,"HTML/CSS, JavaScript, C#, Python, SQL",Backend,31 - 40,
8/2/2024 13:04:59,Türkiye,Tam zamanlı,Office,2,Junior,"HTML/CSS, JavaScript, TypeScript, C#",Fullstack,31 - 40,
8/2/2024 13:05:19,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",React Native,21 - 30,
8/2/2024 13:05:21,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, TypeScript",React Native,31 - 40,
8/2/2024 13:05:30,Türkiye,Tam zamanlı,Office,2,Junior,Java,Backend,31 - 40,
8/2/2024 13:05:30,Amerika,Tam zamanlı,Remote,11 - 15,Architect,"HTML/CSS, JavaScript, TypeScript, Java, Go, PHP, C#, Kotlin, Scala, Swift, Python, Dart, Ruby, Rust, C, C++, Objective C, SQL, Cobol, Julia, Perl, Bash, R Language, ABAP, Matlab, Visual Basic, Elixir",Fullstack,300 +,
8/2/2024 13:05:30,Türkiye,Kendi işim,Remote,11 - 15,Partner,Hiçbiri,Product Designer,300 +,
8/2/2024 13:05:34,Türkiye,Tam zamanlı,Hybrid,3,Mid,"Go, Python, C++, SQL, Bash",DevOps,91 - 100,
8/2/2024 13:05:43,Türkiye,Tam zamanlı,Office,2,Mid,ABAP,SAP Developer,11 - 20,
8/2/2024 13:05:53,Türkiye,Tam zamanlı,Remote,6,Mid,"Python, SQL",DevOps,71 - 80,
8/2/2024 13:06:02,Türkiye,Tam zamanlı,Hybrid,6,Mid,"HTML/CSS, JavaScript, TypeScript, C#",Frontend,121 - 130,
8/2/2024 13:06:06,Türkiye,Tam zamanlı,Remote,4,Mid,"JavaScript, TypeScript, PHP, SQL",Fullstack,41 - 50,
8/2/2024 13:06:11,Türkiye,Tam zamanlı,Office,3,Junior,"HTML/CSS, JavaScript, SQL",Frontend,41 - 50,
8/2/2024 13:06:21,Türkiye,Tam zamanlı,Remote,2,Mid,"C#, Dart",Flutter,61 - 70,
8/2/2024 13:06:23,Türkiye,Tam zamanlı,Hybrid,3,Mid,"HTML/CSS, JavaScript, TypeScript, SQL",Fullstack,41 - 50,
8/2/2024 13:06:26,Türkiye,Tam zamanlı,Hybrid,1,Junior,Hiçbiri,Business Analyst,31 - 40,
8/2/2024 13:06:32,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript, Python, SQL",Fullstack,41 - 50,
8/2/2024 13:06:34,Türkiye,Tam zamanlı,Hybrid,4,Senior,"HTML/CSS, JavaScript, TypeScript",Fullstack,91 - 100,
8/2/2024 13:06:45,Avrupa,Tam zamanlı,Hybrid,2,Junior,Hiçbiri,Danışmanlık,81 - 90,
8/2/2024 13:06:56,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript, Java, Swift",Frontend,71 - 80,
8/2/2024 13:07:03,Türkiye,Tam zamanlı,Hybrid,7,Team Lead,"HTML/CSS, JavaScript, PHP, SQL",Project Manager,71 - 80,
8/2/2024 13:07:09,Türkiye,Tam zamanlı,Office,20 - 30,Engineering Manager,"HTML/CSS, JavaScript, TypeScript, C#, Python, C, C++, Objective C, SQL, Visual Basic",Product Manager,251 - 260,
8/2/2024 13:07:13,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:07:13,Türkiye,Tam zamanlı,Remote,4,Senior,"Python, SQL",Data Engineer,101 - 110,
8/2/2024 13:07:23,Türkiye,Tam zamanlı,Hybrid,7,Senior,"HTML/CSS, JavaScript, C#",Backend,81 - 90,
8/2/2024 13:07:24,Türkiye,Tam zamanlı,Remote,1,Junior,Hiçbiri,Project Manager,21 - 30,
8/2/2024 13:07:26,Türkiye,Tam zamanlı,Remote,5,Mid,"JavaScript, C#",Fullstack,61 - 70,
8/2/2024 13:07:26,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript",React Native,71 - 80,
8/2/2024 13:07:32,Türkiye,Tam zamanlı,Office,3,Junior,"HTML/CSS, JavaScript, TypeScript",Fullstack,21 - 30,
8/2/2024 13:07:36,Türkiye,Yarı zamanlı,Remote,2,Mid,TypeScript,Fullstack,21 - 30,
8/2/2024 13:07:38,Türkiye,Tam zamanlı,Remote,1,Junior,Hiçbiri,DevOps,31 - 40,
8/2/2024 13:07:49,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, C#, SQL",Fullstack,61 - 70,
8/2/2024 13:08:09,Türkiye,Tam zamanlı,Hybrid,1,Junior,"HTML/CSS, JavaScript",Frontend,51 - 60,
8/2/2024 13:08:35,Türkiye,Tam zamanlı,Remote,2,Junior,Swift,iOS,31 - 40,
8/2/2024 13:09:01,Türkiye,Tam zamanlı,Remote,5,Mid,"Java, Go",Backend,31 - 40,
8/2/2024 13:09:10,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript",Fullstack,91 - 100,
8/2/2024 13:09:29,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 13:09:47,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript",Frontend,21 - 30,
8/2/2024 13:10:08,Türkiye,Tam zamanlı,Hybrid,4,Senior,"HTML/CSS, JavaScript, C#",Fullstack,91 - 100,
8/2/2024 13:10:12,Yurtdışı TR hub,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:10:37,Türkiye,Tam zamanlı,Hybrid,20 - 30,Team Lead,"HTML/CSS, JavaScript, TypeScript, C#, SQL, Visual Basic",Fullstack,81 - 90,
8/2/2024 13:11:09,Türkiye,Tam zamanlı,Remote,6,Senior,C#,DevOps,91 - 100,
8/2/2024 13:11:12,Türkiye,Tam zamanlı,Hybrid,3,Mid,Swift,iOS,61 - 70,
8/2/2024 13:11:16,Türkiye,Tam zamanlı,Office,1,Junior,Hiçbiri,Danışmanlık,11 - 20,
8/2/2024 13:11:27,Türkiye,Tam zamanlı,Office,0,Junior,"HTML/CSS, JavaScript",Fullstack,0 - 10,
8/2/2024 13:11:33,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,71 - 80,
8/2/2024 13:11:36,Türkiye,Tam zamanlı,Remote,2,Junior,Dart,Flutter,51 - 60,
8/2/2024 13:11:51,Türkiye,Tam zamanlı,Remote,6,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,71 - 80,
8/2/2024 13:12:47,Türkiye,Tam zamanlı,Office,2,Junior,Hiçbiri,Cyber Security Engineer,21 - 30,
8/2/2024 13:12:47,Türkiye,Tam zamanlı,Hybrid,1,Junior,"JavaScript, ABAP",SAP Developer,31 - 40,
8/2/2024 13:12:48,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 13:12:58,Türkiye,Tam zamanlı,Remote,4,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,111 - 120,
8/2/2024 13:13:01,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",Frontend,31 - 40,
8/2/2024 13:13:23,Türkiye,Tam zamanlı,Office,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:13:41,Türkiye,Tam zamanlı,Remote,5,Senior,"C#, SQL",Backend,61 - 70,
8/2/2024 13:13:44,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript",Frontend,61 - 70,
8/2/2024 13:14:14,Türkiye,Tam zamanlı,Remote,2,Junior,"JavaScript, TypeScript, C#, SQL",Fullstack,31 - 40,
8/2/2024 13:14:17,Türkiye,Freelance,Remote,10,Team Lead,"HTML/CSS, JavaScript, TypeScript",Frontend,101 - 110,
8/2/2024 13:14:46,Türkiye,Tam zamanlı,Remote,1,Mid,"HTML/CSS, JavaScript, TypeScript, C#, Python, SQL, Bash",Fullstack,31 - 40,
8/2/2024 13:14:47,Türkiye,Tam zamanlı,Hybrid,8,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,101 - 110,
8/2/2024 13:15:01,Türkiye,Tam zamanlı,Remote,5,Team Lead,Swift,iOS,91 - 100,
8/2/2024 13:15:05,Türkiye,Tam zamanlı,Office,3,Mid,JavaScript,React Native,51 - 60,
8/2/2024 13:15:31,Türkiye,Tam zamanlı,Hybrid,3,Mid,"JavaScript, TypeScript",Backend,41 - 50,
8/2/2024 13:15:36,Türkiye,Tam zamanlı,Office,1,Junior,TypeScript,Frontend,21 - 30,
8/2/2024 13:15:45,Türkiye,Tam zamanlı,Office,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:16:00,Türkiye,Tam zamanlı,Office,2,Mid,"HTML/CSS, JavaScript, TypeScript, Java, PHP",Frontend,31 - 40,
8/2/2024 13:16:14,Türkiye,Tam zamanlı,Hybrid,11 - 15,Team Lead,C#,Backend,141 - 150,
8/2/2024 13:16:17,Türkiye,Tam zamanlı,Remote,6,Senior,C#,Backend,101 - 110,
8/2/2024 13:16:32,Türkiye,Tam zamanlı,Hybrid,11 - 15,Senior,C#,Fullstack,121 - 130,
8/2/2024 13:16:45,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:16:51,Türkiye,Tam zamanlı,Remote,1,Junior,SQL,Danışmanlık,21 - 30,
8/2/2024 13:16:54,Türkiye,Tam zamanlı,Hybrid,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:16:54,Türkiye,Tam zamanlı,Hybrid,6,Senior,"HTML/CSS, JavaScript, TypeScript, PHP, Kotlin, Swift, Dart, SQL",React Native,81 - 90,
8/2/2024 13:17:14,Türkiye,Tam zamanlı,Office,3,Junior,"Java, Dart",Flutter,21 - 30,
8/2/2024 13:17:23,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:17:25,Türkiye,Tam zamanlı,Office,3,Mid,"JavaScript, TypeScript, Java, Kotlin, Swift",React Native,31 - 40,
8/2/2024 13:17:26,Türkiye,Tam zamanlı,Hybrid,6,Senior,Java,Backend,81 - 90,
8/2/2024 13:17:27,Türkiye,Tam zamanlı,Remote,4,Mid,"JavaScript, TypeScript",React Native,61 - 70,
8/2/2024 13:17:35,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,41 - 50,
8/2/2024 13:17:39,Türkiye,Freelance,Remote,1,Junior,"HTML/CSS, JavaScript, PHP",Frontend,0 - 10,
8/2/2024 13:17:50,Türkiye,Tam zamanlı,Remote,4,Mid,TypeScript,Fullstack,101 - 110,
8/2/2024 13:17:59,Türkiye,Tam zamanlı,Remote,6,Team Lead,"C#, SQL",Backend,101 - 110,
8/2/2024 13:18:00,Türkiye,Tam zamanlı,Office,10,Team Lead,C#,Game Developer,121 - 130,
8/2/2024 13:18:02,Türkiye,Tam zamanlı,Remote,4,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,61 - 70,
8/2/2024 13:18:06,Yurtdışı TR hub,Tam zamanlı,Remote,5,Mid,"JavaScript, TypeScript, Python",Fullstack,71 - 80,
8/2/2024 13:18:14,Yurtdışı TR hub,Tam zamanlı,Remote,20 - 30,Architect,"Go, C#, SQL",Backend,121 - 130,
8/2/2024 13:18:17,Türkiye,Kendi işim,Remote,11 - 15,Architect,"HTML/CSS, JavaScript, Java, SQL",Backend,300 +,
8/2/2024 13:18:21,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:18:22,Türkiye,Tam zamanlı,Hybrid,4,Mid,"PHP, SQL",Backend,61 - 70,
8/2/2024 13:18:40,Türkiye,Tam zamanlı,Remote,10,Senior,C#,Backend,101 - 110,
8/2/2024 13:18:46,Türkiye,Tam zamanlı,Office,0,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,11 - 20,
8/2/2024 13:18:53,Türkiye,Tam zamanlı,Hybrid,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 13:18:57,Türkiye,Tam zamanlı,Hybrid,5,Mid,"HTML/CSS, JavaScript, C#",Fullstack,71 - 80,
8/2/2024 13:18:58,Türkiye,Tam zamanlı,Hybrid,16 - 20,Staff Engineer,Hiçbiri,Product Manager,121 - 130,
8/2/2024 13:19:06,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:19:07,Türkiye,Tam zamanlı,Remote,11 - 15,Senior,Java,Backend,291 - 300,
8/2/2024 13:19:11,Türkiye,Tam zamanlı,Hybrid,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,61 - 70,
8/2/2024 13:19:15,Türkiye,Tam zamanlı,Hybrid,2,Junior,C#,Backend,51 - 60,
8/2/2024 13:19:50,Türkiye,Tam zamanlı,Remote,4,Team Lead,"HTML/CSS, JavaScript, TypeScript, Java",Frontend,81 - 90,
8/2/2024 13:19:50,Türkiye,Tam zamanlı,Hybrid,11 - 15,Senior,"HTML/CSS, JavaScript, TypeScript, C#, SQL, Visual Basic",Fullstack,111 - 120,
8/2/2024 13:19:53,Türkiye,Tam zamanlı,Remote,2,Junior,"HTML/CSS, JavaScript",Frontend,31 - 40,
8/2/2024 13:19:54,Türkiye,Tam zamanlı,Remote,6,Senior,"Java, SQL",Backend,51 - 60,
8/2/2024 13:20:02,Türkiye,Tam zamanlı,Remote,9,Senior,"Java, SQL",Fullstack,71 - 80,
8/2/2024 13:20:04,Türkiye,Tam zamanlı,Remote,4,Senior,"HTML/CSS, JavaScript, TypeScript, Java",Frontend,101 - 110,
8/2/2024 13:20:08,Türkiye,Tam zamanlı,Hybrid,9,Team Lead,C#,Backend,111 - 120,
8/2/2024 13:20:12,Amerika,Yarı zamanlı,Remote,2,Junior,"HTML/CSS, JavaScript, Python",Cyber Security Engineer,61 - 70,
8/2/2024 13:20:12,Türkiye,Tam zamanlı,Office,2,Mid,"HTML/CSS, JavaScript, TypeScript, SQL",Fullstack,21 - 30,
8/2/2024 13:20:30,Türkiye,Tam zamanlı,Office,11 - 15,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,300 +,
8/2/2024 13:20:33,Türkiye,Tam zamanlı,Hybrid,16 - 20,Team Lead,"JavaScript, TypeScript, C#, SQL",Fullstack,121 - 130,
8/2/2024 13:20:38,Yurtdışı TR hub,Tam zamanlı,Hybrid,7,Senior,"HTML/CSS, JavaScript, TypeScript",Fullstack,191 - 200,
8/2/2024 13:20:39,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript, C#",Fullstack,21 - 30,
8/2/2024 13:20:57,Türkiye,Tam zamanlı,Remote,11 - 15,Staff Engineer,"HTML/CSS, JavaScript, TypeScript, C#",Frontend,151 - 160,
8/2/2024 13:21:09,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, Kotlin",Fullstack,21 - 30,
8/2/2024 13:21:16,Türkiye,Tam zamanlı,Office,11 - 15,Team Lead,"HTML/CSS, JavaScript, TypeScript, Java, C#, SQL",Product Owner,71 - 80,
8/2/2024 13:21:20,Türkiye,Tam zamanlı,Remote,7,Architect,"JavaScript, TypeScript, Java, C#, Cobol",Fullstack,131 - 140,
8/2/2024 13:21:42,Türkiye,Tam zamanlı,Office,2,Mid,"HTML/CSS, JavaScript, TypeScript, Go, Rust",Fullstack,21 - 30,
8/2/2024 13:21:45,Türkiye,Tam zamanlı,Office,3,Team Lead,"Java, SQL",Backend,71 - 80,
8/2/2024 13:21:51,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",Frontend,31 - 40,
8/2/2024 13:21:52,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,71 - 80,
8/2/2024 13:22:01,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:22:05,Türkiye,Tam zamanlı,Remote,1,Junior,"JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:22:07,Türkiye,Tam zamanlı,Remote,2,Junior,C#,Fullstack,61 - 70,
8/2/2024 13:22:09,Türkiye,Tam zamanlı,Hybrid,3,Mid,Java,Backend,41 - 50,
8/2/2024 13:22:30,Türkiye,Tam zamanlı,Hybrid,5,Senior,Hiçbiri,Product Manager,91 - 100,
8/2/2024 13:22:37,Türkiye,Tam zamanlı,Remote,11 - 15,Architect,"JavaScript, Java",Backend,121 - 130,
8/2/2024 13:22:39,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:22:41,Türkiye,Tam zamanlı,Remote,8,Senior,"Java, Kotlin",Android,121 - 130,
8/2/2024 13:22:44,Amerika,Yarı zamanlı,Remote,2,Mid,"JavaScript, TypeScript, Python",Fullstack,11 - 20,
8/2/2024 13:22:46,Türkiye,Tam zamanlı,Hybrid,5,Senior,"Java, SQL",Danışmanlık,61 - 70,
8/2/2024 13:22:46,Türkiye,Tam zamanlı,Remote,3,Mid,C#,Backend,51 - 60,
8/2/2024 13:22:48,Yurtdışı TR hub,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,61 - 70,
8/2/2024 13:22:53,Türkiye,Tam zamanlı,Office,10,Senior,"HTML/CSS, C#, Python, SQL",Fullstack,21 - 30,
8/2/2024 13:23:22,Avrupa,Tam zamanlı,Hybrid,5,Senior,Hiçbiri,Test Automation Engineer,91 - 100,
8/2/2024 13:23:26,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:23:53,Türkiye,Tam zamanlı,Remote,0,Junior,"JavaScript, Java",Fullstack,41 - 50,
8/2/2024 13:24:18,Türkiye,Tam zamanlı,Remote,9,Team Lead,"JavaScript, TypeScript, Java, PHP, Python",Backend,91 - 100,
8/2/2024 13:24:27,Türkiye,Tam zamanlı,Remote,11 - 15,Team Lead,"HTML/CSS, JavaScript, C#, SQL",Fullstack,91 - 100,
8/2/2024 13:24:31,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, TypeScript, C#, SQL",Fullstack,61 - 70,
8/2/2024 13:24:33,Türkiye,Tam zamanlı,Hybrid,0,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,21 - 30,
8/2/2024 13:24:48,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, C#, SQL",Fullstack,51 - 60,
8/2/2024 13:25:28,Türkiye,Tam zamanlı,Remote,10,Team Lead,"HTML/CSS, JavaScript, TypeScript, PHP, Python, Perl, Bash",Frontend,101 - 110,
8/2/2024 13:25:29,Türkiye,Tam zamanlı,Office,6,Senior,"HTML/CSS, JavaScript, C#, SQL",Fullstack,71 - 80,
8/2/2024 13:25:31,Türkiye,Tam zamanlı,Remote,3,Senior,"TypeScript, Kotlin, Swift",React Native,61 - 70,
8/2/2024 13:25:47,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, C#",Fullstack,11 - 20,
8/2/2024 13:25:48,Türkiye,Tam zamanlı,Remote,2,Junior,"JavaScript, TypeScript",React Native,51 - 60,
8/2/2024 13:25:59,Türkiye,Tam zamanlı,Remote,5,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 13:26:06,Türkiye,Tam zamanlı,Hybrid,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 13:26:08,Yurtdışı TR hub,Freelance,Remote,1,Junior,Dart,Flutter,0 - 10,
8/2/2024 13:26:22,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,11 - 20,
8/2/2024 13:26:24,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,11 - 20,
8/2/2024 13:26:26,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:26:33,Türkiye,Tam zamanlı,Remote,11 - 15,Architect,"Java, Go, Kotlin, Swift",Backend,300 +,
8/2/2024 13:26:38,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Frontend,41 - 50,
8/2/2024 13:27:07,Türkiye,Tam zamanlı,Hybrid,7,Senior,"Java, C#",Backend,101 - 110,
8/2/2024 13:27:09,Türkiye,Tam zamanlı,Remote,8,Senior,PHP,Backend,91 - 100,
8/2/2024 13:27:17,Türkiye,Tam zamanlı,Hybrid,6,Architect,Java,Android,101 - 110,
8/2/2024 13:27:40,Türkiye,Tam zamanlı,Remote,3,Senior,"JavaScript, TypeScript, Swift, Python, C, C++, Bash",Frontend,21 - 30,
8/2/2024 13:28:01,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,61 - 70,
8/2/2024 13:28:09,Türkiye,Tam zamanlı,Hybrid,3,Senior,"HTML/CSS, SQL",Business Analyst,71 - 80,
8/2/2024 13:28:13,Türkiye,Tam zamanlı,Remote,1,Junior,Hiçbiri,Danışmanlık,21 - 30,
8/2/2024 13:28:20,Türkiye,Tam zamanlı,Hybrid,5,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,41 - 50,
8/2/2024 13:28:22,Türkiye,Tam zamanlı,Hybrid,11 - 15,Senior,"Java, Kotlin",Android,101 - 110,
8/2/2024 13:28:48,Türkiye,Tam zamanlı,Remote,4,Mid,"Go, Python, SQL",DevOps,71 - 80,
8/2/2024 13:28:49,Türkiye,Tam zamanlı,Hybrid,3,Senior,"HTML/CSS, SQL",Business Analyst,71 - 80,
8/2/2024 13:29:22,Türkiye,Tam zamanlı,Office,2,Mid,"HTML/CSS, JavaScript, TypeScript, Java",Fullstack,31 - 40,
8/2/2024 13:29:30,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,41 - 50,
8/2/2024 13:29:45,Türkiye,Tam zamanlı,Remote,10,Senior,Kotlin,Android,91 - 100,
8/2/2024 13:30:27,Türkiye,Tam zamanlı,Remote,1,Junior,C#,Backend,31 - 40,
8/2/2024 13:30:42,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Backend,21 - 30,
8/2/2024 13:31:19,Türkiye,Tam zamanlı,Office,0,Junior,Hiçbiri,Business Analyst,51 - 60,
8/2/2024 13:31:21,Avrupa,Tam zamanlı,Remote,1,Junior,"JavaScript, TypeScript",React Native,31 - 40,
8/2/2024 13:31:38,Türkiye,Tam zamanlı,Remote,9,Senior,Hiçbiri,Product Owner,101 - 110,
8/2/2024 13:31:47,Türkiye,Tam zamanlı,Hybrid,1,Junior,"Python, SQL",Project Manager,41 - 50,
8/2/2024 13:31:52,Türkiye,Tam zamanlı,Office,10,Senior,"HTML/CSS, JavaScript, PHP, Swift, Dart, SQL",Fullstack,61 - 70,
8/2/2024 13:31:55,Türkiye,Tam zamanlı,Remote,4,Mid,Java,Backend,71 - 80,
8/2/2024 13:32:01,Türkiye,Tam zamanlı,Remote,8,Senior,"HTML/CSS, JavaScript, TypeScript, Java",Fullstack,141 - 150,
8/2/2024 13:32:17,Türkiye,Tam zamanlı,Remote,5,Mid,"Java, SQL",Backend,61 - 70,
8/2/2024 13:32:49,Türkiye,Tam zamanlı,Remote,3,Mid,Kotlin,Android,41 - 50,
8/2/2024 13:32:53,Türkiye,Tam zamanlı,Remote,4,Mid,Java,Backend,81 - 90,
8/2/2024 13:33:11,Amerika,Tam zamanlı,Remote,4,Mid,"JavaScript, TypeScript, PHP",Backend,71 - 80,
8/2/2024 13:33:12,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript",Frontend,51 - 60,
8/2/2024 13:33:13,Türkiye,Tam zamanlı,Office,3,Senior,"HTML/CSS, JavaScript, TypeScript, Python",Fullstack,11 - 20,
8/2/2024 13:33:18,Türkiye,Yarı zamanlı,Remote,0,Junior,"HTML/CSS, JavaScript, C#, SQL",Backend,21 - 30,
8/2/2024 13:33:23,Türkiye,Tam zamanlı,Office,11 - 15,Team Lead,"HTML/CSS, JavaScript, C#, Cobol",Fullstack,101 - 110,
