Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Aylık ortalama net kaç bin TL alıyorsun?,Cinsiyet
8/2/2024 21:36:41,Türkiye,Tam zamanlı,Remote,9,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,121 - 130,
8/2/2024 21:36:46,Türkiye,Tam zamanlı,Remote,20 - 30,Team Lead,"HTML/CSS, JavaScript, TypeScript, C#, Dart, SQL",Backend,81 - 90,
8/2/2024 21:38:39,Türkiye,Tam zamanlı,Remote,5,Mid,"Python, SQL",DevOps,41 - 50,
8/2/2024 21:38:47,Türkiye,Tam zamanlı,Remote,2,Junior,C#,Backend,41 - 50,
8/2/2024 21:38:52,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript, TypeScript, Java",Fullstack,41 - 50,
8/2/2024 21:40:02,Türkiye,Tam zamanlı,Hybrid,10,Team Lead,"Java, Kotlin, Swift, Objective C",iOS,101 - 110,
8/2/2024 21:41:08,Amerika,Tam zamanlı,Remote,2,Junior,"JavaScript, TypeScript",React Native,41 - 50,
8/2/2024 21:41:46,Türkiye,Tam zamanlı,Remote,10,Team Lead,"Java, Go, Kotlin, Swift, Objective C",iOS,101 - 110,
8/2/2024 21:43:15,Türkiye,Tam zamanlı,Remote,4,Mid,"JavaScript, TypeScript, Kotlin, Swift",React Native,71 - 80,
8/2/2024 21:43:34,Türkiye,Tam zamanlı,Office,0,Junior,ABAP,Backend,31 - 40,
8/2/2024 21:44:19,Türkiye,Tam zamanlı,Remote,9,Team Lead,"HTML/CSS, JavaScript, TypeScript, Scala, Dart, SQL",Fullstack,101 - 110,
8/2/2024 21:46:00,Türkiye,Tam zamanlı,Hybrid,4,Mid,"HTML/CSS, JavaScript, TypeScript, C#, SQL",Fullstack,51 - 60,
8/2/2024 21:46:39,Türkiye,Tam zamanlı,Remote,2,Mid,Kotlin,Android,61 - 70,
8/2/2024 21:52:23,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, Java, C#",Android,21 - 30,
8/2/2024 21:53:56,Türkiye,Tam zamanlı,Remote,4,Mid,JavaScript,Manuel Tester,51 - 60,
8/2/2024 21:54:47,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript, TypeScript, Python, SQL",Fullstack,41 - 50,
8/2/2024 21:55:08,Türkiye,Tam zamanlı,Office,3,Mid,"HTML/CSS, Go, C#, Python, SQL",Backend,91 - 100,
8/2/2024 21:55:43,Türkiye,Tam zamanlı,Office,4,Senior,"HTML/CSS, JavaScript, TypeScript, Java, Swift",Fullstack,101 - 110,
8/2/2024 21:55:57,Türkiye,Tam zamanlı,Hybrid,8,Architect,"HTML/CSS, JavaScript, TypeScript, Java, PHP, Python, Elixir",Backend,111 - 120,
8/2/2024 21:56:29,Türkiye,Tam zamanlı,Office,10,Senior,"JavaScript, C#, SQL",Fullstack,51 - 60,
8/2/2024 21:57:28,Türkiye,Tam zamanlı,Hybrid,1,Junior,Swift,iOS,51 - 60,
8/2/2024 21:57:39,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, SQL",Fullstack,41 - 50,
8/2/2024 21:59:52,Türkiye,Tam zamanlı,Office,5,Team Lead,Dart,Flutter,51 - 60,
8/2/2024 21:59:59,Türkiye,Tam zamanlı,Remote,4,Team Lead,"JavaScript, Ruby",Fullstack,81 - 90,
8/2/2024 22:00:05,Türkiye,Tam zamanlı,Remote,11 - 15,Team Lead,Kotlin,Android,151 - 160,
8/2/2024 22:03:11,Türkiye,Tam zamanlı,Office,8,Senior,"PHP, C#",Backend,61 - 70,
8/2/2024 22:04:36,Türkiye,Tam zamanlı,Remote,3,Mid,"JavaScript, Java",Fullstack,71 - 80,
8/2/2024 22:04:45,Türkiye,Tam zamanlı,Remote,4,Mid,"PHP, Python, C++, Matlab",Data Scientist,31 - 40,
8/2/2024 22:06:58,Türkiye,Tam zamanlı,Office,3,Mid,JavaScript,React Native,51 - 60,
8/2/2024 22:07:01,Türkiye,Tam zamanlı,Hybrid,4,Mid,C#,Backend,81 - 90,
8/2/2024 22:07:06,Türkiye,Tam zamanlı,Remote,3,Senior,Hiçbiri,UI/UX Designer,61 - 70,
8/2/2024 22:07:34,Türkiye,Tam zamanlı,Remote,11 - 15,Architect,C#,Backend,141 - 150,
8/2/2024 22:09:24,Türkiye,Tam zamanlı,Office,2,Junior,"HTML/CSS, JavaScript, PHP",Fullstack,31 - 40,
8/2/2024 22:10:24,Türkiye,Tam zamanlı,Remote,5,Senior,Java,Backend,81 - 90,
8/2/2024 22:11:08,Türkiye,Tam zamanlı,Remote,11 - 15,Senior,"Java, SQL",Backend,81 - 90,
8/2/2024 22:11:50,Türkiye,Tam zamanlı,Remote,5,Team Lead,Java,Backend,151 - 160,
8/2/2024 22:12:52,Türkiye,Tam zamanlı,Remote,6,Mid,"Java, Kotlin",Android,61 - 70,
8/2/2024 22:13:16,Türkiye,Tam zamanlı,Office,10,Senior,"HTML/CSS, JavaScript, TypeScript, C#, SQL",Fullstack,41 - 50,
8/2/2024 22:16:30,Türkiye,Tam zamanlı,Remote,7,Senior,Kotlin,Android,91 - 100,
8/2/2024 22:17:12,Türkiye,Tam zamanlı,Remote,2,Director Level Manager,"JavaScript, PHP",Product Manager,71 - 80,
8/2/2024 22:19:51,Türkiye,Tam zamanlı,Hybrid,2,Junior,"C#, Python",Backend,21 - 30,
8/2/2024 22:21:35,Türkiye,Kendi işim,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,31 - 40,
8/2/2024 22:21:45,Türkiye,Tam zamanlı,Hybrid,8,Mid,"HTML/CSS, JavaScript, TypeScript, C#, SQL, Visual Basic",Fullstack,51 - 60,
8/2/2024 22:23:48,Türkiye,Tam zamanlı,Hybrid,6,Senior,"HTML/CSS, JavaScript, C#, SQL",Fullstack,51 - 60,
8/2/2024 22:24:34,Türkiye,Tam zamanlı,Remote,16 - 20,Senior,Python,Project Manager,121 - 130,
8/2/2024 22:24:56,Türkiye,Tam zamanlı,Remote,10,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,141 - 150,
8/2/2024 22:25:56,Türkiye,Tam zamanlı,Hybrid,16 - 20,Senior,"HTML/CSS, JavaScript, TypeScript, Java, C#, SQL",Fullstack,121 - 130,
8/2/2024 22:26:39,Türkiye,Tam zamanlı,Remote,10,Architect,"JavaScript, Java, C#, SQL, Bash",Fullstack,171 - 180,
8/2/2024 22:28:35,Türkiye,Tam zamanlı,Remote,2,Mid,ABAP,Backend,21 - 30,
8/2/2024 22:30:34,Türkiye,Tam zamanlı,Hybrid,1,Junior,"C#, Hiçbiri",Business Analyst,31 - 40,
8/2/2024 22:30:44,Türkiye,Tam zamanlı,Hybrid,5,Senior,"HTML/CSS, JavaScript, TypeScript, Go",Frontend,91 - 100,
8/2/2024 22:33:09,Türkiye,Tam zamanlı,Remote,8,Mid,"JavaScript, C#",Fullstack,51 - 60,
8/2/2024 22:33:31,Türkiye,Tam zamanlı,Remote,8,Senior,C#,Backend,101 - 110,
8/2/2024 22:35:04,Türkiye,Tam zamanlı,Remote,10,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,91 - 100,
