Model,Test R²,Test MAE,Test RMSE,CV R²,CV MAE,CV RMSE
linear_regression,0.2730410738782534,30.100674497599933,39.786278627511805,0.2805479377493372,29.583707185618202,39.84427739004578
random_forest,0.5285801860817473,23.7945285339639,32.039246886399965,0.5247262240942926,24.191554410647818,32.37841372176595
xgboost,0.533440761016875,23.449066283855032,31.87364857040791,0.528771156303823,24.041430980378923,32.23201708530991
